seqCorp,法人コード,法人の名称,法人の名称フリガナ,法人区分,行政庁,法人番号(JCN),郵便番号,主たる事務所の住所,代表電話番号,代表者の氏名,ホームページアドレス,事業年度,事業の種類,事業の概要,税額控除に係る証明
3199,,,,,,,,,,,,,,,
3200,A009156,一般社団法人全国地方銀行協会,イッパンシャダンホウジンゼンコクチホウギンコウキョウカイ,一般社団法人である移行法人,内閣府,6010005017636,101-8509,東京都千代田区内神田３丁目１番２号,03-3252-5171,川上　尚貴,http://www.chiginkyo.or.jp,04月01日～03月31日,,"1.金融経済および銀行経営等に関する調査研究
2.会員銀行の職員に対する研修の実施
3.会員銀行が行う共同事業の業務受託",
3201,A001980,公益財団法人郡山地域テクノポリス推進機構,コウエキザイダンホウジンコオリヤマチイキテクノポリススイシンキコウ,公益財団法人,福島県,1380005010146,963-0115,福島県郡山市南２丁目５２番地ビッグパレットふくしま３階,024-947-4400,滝田康雄,http://www.techno-media.net6.or.jp/,04月01日～03月31日,学術及び科学技術の振興を目的とする事業,"産業技術基盤の強化に必要な業務を効果的に行うことにより、高度技術に立脚した工業
開発を促進し、もって郡山地域テクノポリスの形成、ひいては福島県産業の振興に寄与す
る。",
3202,,,,,,,,,,,,,,,
3203,,,,,,,,,,,,,,,
3204,A001384,公益財団法人特別区協議会,コウエキザイダンホウジントクベツクキョウギカイ,公益財団法人,東京都,8010005015183,102-0072,東京都千代田区飯田橋３丁目５番１号,03-5210-9917,吉　住　健　一,http://www.tokyo-23city.or.jp,04月01日～03月31日,地域社会の健全な発展を目的とする事業,"（事業の概要の変更なし）
自治に関する調査研究及び普及啓発、東京区政会館の管理運営、特別区の事務事業の支援に関する事業を行い、特別区の連携及び円滑な自治の運営とその発展に寄与することを目的とする。この目的を達成するための事業を行う。",
3205,,,,,,,,,,,,,,,
3206,A001773,公益財団法人私立大学退職金財団,コウエキザイダンホウジンシリツダイガクタイショクキンザイダン,公益財団法人,内閣府,5010005002911,102-0073,東京都千代田区九段北４丁目２番２５号,03-3234-3361,廣瀬　克哉,https://www.shidai-tai.or.jp,04月01日～03月31日,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業,私立大学等に勤務する教職員の待遇の安定と向上並びに私立大学等を設置する学校法人の経営の安定に寄与するため、当該学校法人に対し、教職員の退職金給付に必要な資金等の交付を行い教育の充実と振興を図る。,
3207,A009527,一般社団法人徳島県自動車整備振興会,イッパンシャダンホウジントクシマケンジドウシャセイビシンコウカイ,一般社団法人,徳島県,8480005005988,771-1156,徳島県徳島市応神町応神産業団地１番地７,088-641-1500,北島　義貴,http://www.oasis-tokushima.or.jp,04月01日～03月31日,,自動車の整備に関する設備の改善及び技術の向上を促進し、並びに自動車の整備事業の業務の適正な運営を確保するとともに、自動車の整備事業の健全な発展に資することを目的とする。,
3208,,,,,,,,,,,,,,,
3209,A009311,一般社団法人常総労働基準協会,イッパンシャダンホウジンジョウソウロウドウキジュンキョウカイ,一般社団法人,茨城県,5050005010687,303-0022,茨城県常総市水海道淵頭町３１１４番地３,0297-22-0949,山野井　周一,,04月01日～03月31日,,労働基準法、労働安全衛生法、雇用対策法等に基づき労働条件、労働安全衛生の普及改善を図るとともに、労務管理の改善、労働災害防止、雇用の維持安定等のための事業を行う。,
3210,,,,,,,,,,,,,,,
3211,,,,,,,,,,,,,,,
3212,,,,,,,,,,,,,,,
3213,,,,,,,,,,,,,,,
3214,A009157,公益財団法人全国中小企業振興機関協会,コウエキザイダンホウジンゼンコクチュウショウキギョウシンコウキカンキョウカイ,公益財団法人,内閣府,9010005002825,104-0033,東京都中央区新川2-1-9石川ビル2階石川ビル２階,03-5541-6688,中村　利雄,https://www.zenkyo.or.jp/index.htm,04月01日～03月31日,公正かつ自由な経済活動の機会の確保及び促進並びにその活性化による国民生活の安定向上を目的とする事業,中小企業の取引のあっせん、中小企業の取引の適正化、中小企業の情報化及び中小企業に対する設備の貸付け等を行う事業に関する情報の収集・提供、調査を行っている。,
3215,,,,,,,,,,,,,,,
3216,A009705,一般社団法人静岡県産業環境センター,イッパンシャダンホウジンシズオカケンサンギョウカンキョウセンター,一般社団法人である移行法人,静岡県,7080405006347,431-2103,静岡県浜松市浜名区新都田１丁目４番６号,053-428-3430,鈴木　康文,https://www.sankan.or.jp,04月01日～03月31日,,事業活動に伴って生じる労働環境及び生活環境に関し、労働災害の防止、労働衛生の向上及び生活環境の保全を推進する。,
3217,,,,,,,,,,,,,,,
3218,A009534,一般社団法人日本印刷学会,イッパンシャダンホウジンニホンインサツガッカイ,一般社団法人,内閣府,,104-0041,東京都中央区新富一丁目16番8号,03-3551-1808,佐藤　利文,http://www.jspst.org/,01月01日～12月31日,,印刷に関する学理及びその応用の研究についての発表及び連絡、並びに知識の交換、情報の提供等を行うことによって、印刷に関する研究の進歩普及を図り、もって学術の発展に寄与することを目的とする事業,
3219,,,,,,,,,,,,,,,
3220,A006671,公益財団法人イオン環境財団,コウエキザイダンホウジンイオンカンキョウザイダン,公益財団法人,内閣府,5040005003849,261-8515,千葉県千葉市美浜区中瀬１丁目５番地１,043-212-6022,岡田　元也,http://www.aeon.info/ef/,04月01日～03月31日,地球環境の保全又は自然環境の保護及び整備を目的とする事業,環境保全活動に対する助成・支援を行うとともに、生物多様性の保全と利用、地球温暖化防止等の活動を自ら行うことにより、地球環境の保全に貢献していくことを目的としている。,
3221,A009877,公益社団法人菊池法人会,コウエキシャダンホウジンキクチホウジンカイ,公益社団法人,熊本県,8330005003049,869-1205,熊本県菊池市旭志川辺１８８４番地１,0968-36-9444,加茂野伸一郎,http://hojinkai.zenkokuhojinkai.or.jp/kikuchi/,04月01日～03月31日,"国政の健全な運営の確保に資することを目的とする事業、
地域社会の健全な発展を目的とする事業",税知識の普及と納税意識の高揚のために、研修会、説明会、講演会、広報活動、適正な税制についての提言を行うとともに、地域中小企業の発展と地域社会への貢献を目的として活動を行っている。,
3222,A001666,公益財団法人日本テレビ系列愛の小鳩事業団,コウエキザイダンホウジンニホンテレビケイレツアイノコバトジギョウダン,－,内閣府,,102-0084,東京都千代田区四番町７番地６,03-5275-4751,小林　昂,ainokobato.jp,04月01日～03月31日,"障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業、
公衆衛生の向上を目的とする事業、
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業","身体障害者の中で、特に視聴覚に障害のある方たちのために福祉活動を行っています。
「テレビの恩恵を受けることの少ない耳や目のご不自由な方々へ温かい愛の手を」を事業目的として活動を行っています。",
3223,,,,,,,,,,,,,,,
3224,A009669,一般社団法人新宮高等学校振学会,イッパンシャダンホウジンシングウコウトウガッコウシンガクカイ,一般社団法人,和歌山県,8170005005243,647-0044,和歌山県新宮市神倉３丁目２番３９号,0735-22-8101,下路　拓,,04月01日～03月31日,,当法人は、教育に関する諸般の研究改善に努めるとともに、生徒が健全な社会人として育つよう、人格の向上と福祉の増進のため、文化・体育活動の促進及び奨学金の運営等を行うことを目的として活動している。,
3225,A001445,公益財団法人すぎのこ芸術文化振興会,コウエキザイダンホウジンスギノコゲイジュツブンカシンコウカイ,公益財団法人,内閣府,9013305001760,171-0022,東京都豊島区南池袋四丁目１９番６号日の出ビル２階,03-3984-2396,大場　隆志,http://www.suginoko.org,04月01日～03月31日,"文化及び芸術の振興を目的とする事業、
障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業、
高齢者の福祉の増進を目的とする事業、
児童又は青少年の健全な育成を目的とする事業、
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業、
男女共同参画社会の形成その他のより良い社会の形成の推進を目的とする事業、
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業、
地球環境の保全又は自然環境の保護及び整備を目的とする事業、
地域社会の健全な発展を目的とする事業",舞台芸術をはじめとする芸術文化活動により創造的で情操ゆたかな人間力を醸成しより良い社会の形成と芸術文化の振興に寄与する。,【証明】公益財団法人すぎのこ芸術文化振興会［税額控除］
3226,,,,,,,,,,,,,,,
3227,A009291,公益社団法人下関法人会,コウエキシャダンホウジン　シモノセキホウジンカイ,公益社団法人,山口県,1250005007477,750-0004,山口県下関市中之町６番４号大和交通株式会社ビル４階,083-232-6235,村上幸男,http://www.shimoho.com,04月01日～03月31日,"国政の健全な運営の確保に資することを目的とする事業、
地域社会の健全な発展を目的とする事業",下関税務署管内において、税知識の普及と納税意識の高揚のため、研修会、説明会、講習会、広報活動、適正な税制についての提言を行うとともに、中小企業の発展と地域社会への貢献を目的に事業を行っています。,
3228,A001780,公益財団法人福岡労働衛生研究所,コウエキザイダンホウジンフクオカロウドウエイセイケンキュウショ,公益財団法人,内閣府,3290005013692,815-0081,福岡県福岡市南区那の川１丁目１１番２７号,092-526-1033,前川　道隆,https://www.rek.or.jp/,04月01日～03月31日,"障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業、
高齢者の福祉の増進を目的とする事業、
公衆衛生の向上を目的とする事業、
勤労者の福祉の向上を目的とする事業",中小零細団体を中心とする職域、離島僻地等を含む郡部の事業場及び地域住民・学童・学生等、更には社会的弱者・高齢者に対する健康管理、健康の保持増進及び作業環境測定事業を幅広く実施。,
3229,,,,,,,,,,,,,,,
3230,A001073,一般財団法人帯広市文化スポーツ振興財団,イッパンザイダンホウジンオビヒロシブンカスポーツシンコウザイダン,一般財団法人,北海道,5460105001958,080-0856,北海道帯広市南町南７線５６番地７,0155-47-3236,金澤　耿,http://obihiro-foundation.jp/,04月01日～03月31日,,帯広市における文化スポーツ普及振興のために、文化・スポーツ施設の設置、維持運営に関する事業を行い、以て市民の文化及び体力向上と本道における文化スポーツの振興に寄与することを目的とする。,
3231,,,,,,,,,,,,,,,
3232,A009855,一般財団法人埼玉県中小企業共済協会,イッパンザイダンホウジンサイタマケンチュウショウキギョウキョウサイキョウカイ,一般財団法人である移行法人,埼玉県,7030005000606,330-0854,埼玉県さいたま市大宮区桜木町１丁目７番地５,048-644-5601,岩田　英久,,04月01日～03月31日,地域社会の健全な発展を目的とする事業,中小企業の体質改善を推進して中小企業の振興を図るとともに、中小企業者の福利厚生及び中小企業に働く従業員の福祉の向上を図り、もって地域産業の発展に寄与することを目的とした事業を行う。,
3233,A001275,公益社団法人和歌山県宅地建物取引業協会,コウエキシャダンホウジン　ワカヤマケンタクチタテモノトリヒキギョウキョウカイ,公益社団法人,和歌山県,1170005005927,640-8323,和歌山県和歌山市太田１４３番地の３,073-471-6000,角　幸彦,http://wakayama-takken.com,04月01日～03月31日,"障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業、
国政の健全な運営の確保に資することを目的とする事業、
地域社会の健全な発展を目的とする事業、
公正かつ自由な経済活動の機会の確保及び促進並びにその活性化による国民生活の安定向上を目的とする事業、
一般消費者の利益の擁護又は増進を目的とする事業",公益社団法人和歌山県宅地建物取引業協会_kana,
3234,,,,,,,,,,,,,,,
3235,A009834,一般社団法人川崎市薬剤師会,イッパンシャダンホウジンカワサキシヤクザイシカイ,一般社団法人である移行法人,神奈川県,9020005007823,210-0011,神奈川県川崎市川崎区富士見１丁目１番１号,044-211-2325,伊藤　啓,http://www.kawayaku.or.jp/,04月01日～03月31日,公衆衛生の向上を目的とする事業,薬剤師及び薬学又は薬業に携わる者の倫理的水準及び学術的水準を高めるとともに薬学及び薬業の進歩的発展を図り、もって地域住民に対する医療・福祉・公衆衛生の向上に寄与する,
3236,A001720,公益財団法人母と学生の会,コウエキザイダンホウジンハハトガクセイノカイ,公益財団法人,内閣府,8012705001594,189-0024,東京都東村山市富士見町１丁目７番地２,042-393-8330,中山　眞理子,http://www.hahagaku.com/,04月01日～03月31日,"児童又は青少年の健全な育成を目的とする事業、
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業",低廉な寮費での学寮運営、寮生への生活指導・相談を行い、内外の学生の健全育成を図るとともに、寮生以外も対象とした地域住民等との交流を図り青少年を通じた国際理解の進展に寄与する。,
3237,,,,,,,,,,,,,,,
3238,A009140,一般財団法人大林愛林会,イッパンザイダンホウジンオオバヤシアイリンカイ,一般財団法人である移行法人,広島県,7240005012398,731-0201,広島県広島市安佐北区大林１丁目４番５号,082-818-2608,保原　哲也,,04月01日～03月31日,,大林地区内の良好な自然環境の維持保全に努めるとともに、所有する不動産や山林の合理的な経営を通じ、地区内に居住する住民の経済的文化的地位の向上を図り、福祉増進に寄与するための事業。,
3239,A001979,公益社団法人服飾文化研究会,シャダンホウジン　フクショクブンカケンキュウカイ,公益社団法人,内閣府,9020005009687,231-0033,神奈川県横浜市中区長者町八丁目１２９番地,045-252-2312,小原　映子,http://www.h5.dion.ne.jp/~fukuken/,04月01日～03月31日,文化及び芸術の振興を目的とする事業,当法人は、日本の伝統的服飾文化を日本の貴重な文化として、その優れたところを現代に創造的に生かすため、資料を収集し、調査と研鑽を行い、その成果を一般に公開する事業を行う。,
3240,,,,,,,,,,,,,,,
3241,A010884,一般財団法人兵庫県市町職員互助会,イッパンザイダンホウジンヒョウゴケンシチョウショクインゴジョカイ,一般財団法人である移行法人,兵庫県,4140005005381,650-0011,兵庫県神戸市中央区下山手通４丁目１６番３号,078-331-0481,庵逧　典章,,04月01日～03月31日,,兵庫県内の市及び全町の住民に対する文化事業及び市町の職員の福利の増進を図る事業を行う。,
3242,A001420,公益財団法人横浜市緑の協会,コウエキザイダンホウジンヨコハマシミドリノキョウカイ,公益財団法人,神奈川県,2020005010255,231-0021,神奈川県横浜市中区日本大通５８番地,045-228-9420,橋本　健,https://www.hama-midorinokyokai.or.jp,04月01日～03月31日,"学術及び科学技術の振興を目的とする事業、
文化及び芸術の振興を目的とする事業、
児童又は青少年の健全な育成を目的とする事業、
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業、
地球環境の保全又は自然環境の保護及び整備を目的とする事業、
国土の利用、整備又は保全を目的とする事業、
地域社会の健全な発展を目的とする事業","「よこはま緑の街づくり基金」の果実をもとに、都市緑化関連事業の推進を支援していま
す。また、市内の動物園や公園等の指定管理者として各施設を管理し、施設の積極的な活
用・環境教育の推進等を行っています。",
3243,,,,,,,,,,,,,,,
3244,A009367,公益社団法人大野町シルバー人材センター,コウエキシャダンホウジンオオノチョウシルバージンザイセンター,公益社団法人,岐阜県,8200005011527,501-0521,岐阜県揖斐郡大野町大字黒野９１３番地１,0585-36-1166,武藤　文夫,http://www.silver-ono.com/,04月01日～03月31日,"高齢者の福祉の増進を目的とする事業、
勤労意欲のある者に対する就労の支援を目的とする事業、
地域社会の健全な発展を目的とする事業",高齢者の多様な就業及び社会参加活動の機会を確保・提供する事業、高齢者の能力の活用を図るための事業、並びこれらの事業を推進するための普及啓発等の諸活動を実施している。,
3245,,,,,,,,,,,,,,,
3246,A009521,公益財団法人四日市市学校給食協会,コウエキザイダンホウジンヨッカイチシガッコウキュウショクキョウカイ,公益財団法人,三重県,9190005008714,512-1204,三重県四日市市赤水町９７１番地１,059-325-7724,前田 賢一,https://www.yk-kyusyoku-kyoukai.com/,04月01日～03月31日,"児童又は青少年の健全な育成を目的とする事業、
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業",四日市市の小・中学校の児童生徒に対し、廉価な費用で栄養バランスのとれた給食物資の供給により、児童生徒の健全な育成に寄与することを目的としている。また、給食の普及事業等も行っている。,
3247,,,,,,,,,,,,,,,
3248,,,,,,,,,,,,,,,
3249,A001174,一般財団法人国際医学情報センター,イッパンザイダンホウジンコクサイイガクジョウホウセンター,一般財団法人,内閣府,6011105000077,160-0016,東京都新宿区信濃町３５番地,03-5361-7080,戸山　芳昭,http://www.imic.or.jp/,04月01日～03月31日,,文献情報を解析し社品データベース用のデータ作成業務や薬品の安全性確保業務等の受託業務を中心に翻訳・検索・原論文提供等のサービス業務、また、せりみっく広場や海外医学情報サービス等の公益業務を行っている。,
3250,A009505,一般財団法人マルヂ報恩会,イッパンザイダンホウジンマルヂホウオンカイ,一般財団法人である移行法人,内閣府,9280005006667,690-0017,島根県松江市西津田１丁目７番２４号,0852-31-1717,野々村　健造,http://www.marudi.or.jp,04月01日～03月31日,,島根県及び鳥取県において、4年制・6年制(医学部・薬学部)に進学する大学生に対し、奨学金の給付を行う。,
3251,,,,,,,,,,,,,,,
3252,A001952,一般社団法人千葉県薬業会,イッパンシャダンホウジンチバケンヤクギョウカイ,一般社団法人である移行法人,千葉県,9040005001287,260-0025,千葉県千葉市中央区問屋町９番２号,043-242-3801,松下　世津子,,04月01日～03月31日,,本会は薬業者の倫理及び資質の向上を図り、薬事衛生等に貢献する,
3253,A009927,一般社団法人立川市医師会,イッパンシャダンホウジンタチカワシイシカイ,一般社団法人である移行法人,東京都,4012805000046,190-0022,東京都立川市錦町１丁目８番９号,042-525-2597,村上　幸人,http://www.tachikawashi-med.or.jp,04月01日～03月31日,,医師会本来の目的である不特定多数の公益性を遵守し、於いては行政及び関係団体との連携を図りながら、公衆衛生に資する為の各事業を遂行している。,
3254,A001389,公益財団法人豊田市学校給食協会,コウエキザイダンホウジントヨタシガッコウキュウショクキョウカイ,公益財団法人,愛知県,2180305007910,471-0067,愛知県豊田市栄生町５丁目１番地（豊田市中部給食センター内）,0565-32-2110,大谷　哲也,https://www.toyota-school-lunch.jp/index.html,04月01日～03月31日,児童又は青少年の健全な育成を目的とする事業,豊田市内の小学校、中学校等における給食事業等を実施することにより、児童生徒の食育を推進し、健全な心身の発達と豊かな食生活を実現する事業,
3255,,,,,,,,,,,,,,,
3256,A009871,公益財団法人こうち男女共同参画社会づくり財団,コウエキザイダンホウジンコウチダンジョキョウドウサンカクシャカイヅクリザイダン,公益財団法人,高知県,9490005006019,780-0935,高知県高知市旭町３丁目１１５番地,088-873-9100,三谷　英子,http://www.sole-kochi.or.jp,04月01日～03月31日,男女共同参画社会の形成その他のより良い社会の形成の推進を目的とする事業,男女共同参画社会の実現に向けた活動の拠点として、女性と男性がともに女性差別等女性に関する諸問題についての認識を深め、その解決を図るための各種事業を行っている。,
3257,,,,,,,,,,,,,,,
3258,,,,,,,,,,,,,,,
3259,A009066,一般社団法人大和青色申告会,イッパンシャダンホウジンヤマトアオイロシンコクカイ,一般社団法人,神奈川県,,242-0028,神奈川県大和市桜森２丁目３番９号クリオ相模大塚壱番館１階,046-262-5111,曽根　寿太郎,http://www.shokonet.or.jp/aoiro/yamato,04月01日～03月31日,,青色申告制度の普及促進と誠実な記帳による適正な申告を推進するとともに、租税等に関する調査研究を行い、納税道義の高揚及び公平簡素な税制と円滑な税務行政の確立並びに事業経営と社会の健全な発展に寄与する。,
3260,,,,,,,,,,,,,,,
3261,A009309,一般社団法人丹波市医師会,イッパンシャダンホウジンタンバシイシカイ,一般社団法人である移行法人,兵庫県,2140005020382,669-3309,兵庫県丹波市柏原町柏原４２８３番地３７,0795-72-2256,石井　敏樹,http://www.tanba-med.jp/,04月01日～03月31日,,医道の振作昂揚・公衆衛生の啓蒙指導・医療の普及及び充実・医学の普及振興・医事衛生の調査及び研究・医業経営の改善・会員の福祉及び相互扶助・介護保険の普及推進を図りもって社会福祉を増進する事業。,
3262,,,,,,,,,,,,,,,
3263,A001077,公益財団法人ひろしま文化振興財団,コウエキザイダンホウジンヒロシマブンカシンコウザイダン,公益財団法人,広島県,7240005003380,730-0051,広島県広島市中区大手町１丁目５番３号広島県民文化センター内,082-249-8385,小田　宏史,http://www.h-bunka.or.jp/zaidan/hirobuntop.htm,04月01日～03月31日,文化及び芸術の振興を目的とする事業,文化振興に関すること,
3264,,,,,,,,,,,,,,,
3265,,,,,,,,,,,,,,,
3266,A001311,公益社団法人鹿児島県農業・農村振興協会,コウエキシャダンホウジンカゴシマケンノウギョウノウソンシンコウキョウカイ,公益社団法人,鹿児島県,1340005006230,890-8577,鹿児島県鹿児島市鴨池新町１０番１号,099-213-7222,塩田　康一,http://www.ka-nosinkyo.net/,04月01日～03月31日,"勤労意欲のある者に対する就労の支援を目的とする事業、
国民生活に不可欠な物資、エネルギー等の安定供給の確保を目的とする事業、
一般消費者の利益の擁護又は増進を目的とする事業",当法人が展開する事業は，農林業等担い手の確保・育成，農林業技術の改善，県産農林水産物等の安心・安全などに関する事業を行い，本県農林業・農山村の振興及び県民福祉の向上に寄与することを目的としている。,
3267,A009789,一般社団法人小樽自動車協会,イッパンシャダンホウジンオタルジドウシャキョウカイ,一般社団法人である移行法人,北海道,2430005007656,048-2672,北海道小樽市塩谷１丁目２５番１８号,0134-26-2020,廣瀬　堅一,http://www17.plala.or.jp/Otaru-Zidousya,04月01日～03月31日,,自動車の普及発達を図り、輸送秩序の確立と交通安全思想の普及昂揚に努め、もって自動車行政に寄与し、あわせて公共の福祉を増進することを目的とする。,
3268,,,,,,,,,,,,,,,
3269,A009673,一般社団法人日本塩工業会,イッパンシャダンホウジンニホンシオコウギョウカイ,一般社団法人,内閣府,,106-0032,東京都港区六本木七丁目15番14号,03-3402-6411,相澤　英之,http://www.sio.or.jp,04月01日～03月31日,,本会は、国内製塩技術の進歩と会員各社の経営の改善に尽力し、良質の安全安心な国内用塩の安定供給につとめることにより、我が国塩産業の健全な発展と国民生活の向上に寄与することを目的とする。,
3270,,,,,,,,,,,,,,,
3271,,,,,,,,,,,,,,,
3272,,,,,,,,,,,,,,,
3273,,,,,,,,,,,,,,,
3274,,財団法人全国中小企業取引振興協会,ザイダンホウジンゼンコクチュウショウキギョウトリヒキシンコウキョウカイ,特例財団法人,内閣府,,104-0033,東京都中央区新川2-1-9石川ビル２階,03-5541-6688,井出　亜夫,,,,,
3275,,,,,,,,,,,,,,,
3276,,,,,,,,,,,,,,,
3277,A001842,一般財団法人建築研究協会,イッパンザイダンホウジンケンチクケンキュウキョウカイ,一般財団法人である移行法人,内閣府,7130005012797,606-8203,京都府京都市左京区田中関田町４３番地,075-761-5355,鉾井　修一,http://www.kenkyo.org/,04月01日～03月31日,,建築技術・材料劣化に関する調査研究・研究助成。木造伝統構法建造物の保存修理・耐震診断・防災施設設計監理。耐震・劣化診断技術者の養成・研修及び資格認定を行い建築文化の向上発展に寄与することを目的とする。,
3278,,,,,,,,,,,,,,,
3279,,,,,,,,,,,,,,,
3280,A009551,公益社団法人兵庫県私学振興協会,コウエキシャダンホウジンヒョウゴケンシガクシンコウキョウカイ,公益社団法人,兵庫県,2140005001523,650-0012,兵庫県神戸市中央区北長狭通４丁目３番１３号,078-515-6760,山根　耕平,http://www.hyogo-sshinko.or.jp/,04月01日～03月31日,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業,県内に小・中・高校を設置する学校法人に対する施設設備整備資金等の貸付、私立高校への入学者（入学資金の支弁の困難者）に対する入学資金の貸付、及び私立小・中・高校教職員が自主的に実施する研修会の運営助成等,
3281,,,,,,,,,,,,,,,
3282,,,,,,,,,,,,,,,
3283,A009668,一般社団法人姫路植物検疫協会,イッパンシャダンホウジンヒメジショクブツケンエキキョウカイ,一般社団法人である移行法人,兵庫県,5140005020248,671-1242,兵庫県姫路市網干区浜田１６２４番地の４,079-273-4040,宮本　義人,,04月01日～03月31日,,国が行う植物検疫業務に協力するとともに、輸出入植物検疫業務の円滑な運営を図り、もって国民経済の発展に寄与することを目的とする。,
3284,,,,,,,,,,,,,,,
3285,A001609,一般財団法人日本気象協会,イッパンザイダンホウジンニホンキショウキョウカイ,一般財団法人である移行法人,内閣府,4013305001526,170-6055,東京都豊島区東池袋３丁目１番１号サンシャイン６０　５５階,03-5958-8111,武藤　浩,https://www.jwa.or.jp/,04月01日～03月31日,,気象知識及び防災思想の普及、気象に関する観測、予報、調査及び研究並びにその受託、気象観測、予報及び調査に関する技術指導等,
3286,A009062,一般社団法人新潟県測量設計業協会,イッパンシャダンホウジンニイガタケンソクリョウセッケイギョウキョウカイ,一般社団法人,新潟県,4110005014807,951-8131,新潟県新潟市中央区白山浦１丁目６２１番地２２大塚第３マンション２０１号室,025-267-1110,古川　征夫,http:www.shinsoku.org/,04月01日～03月31日,,測量設計に係る調査・研究、普及・啓発及び測量技術等の研修・講習を行うことにより、社会資本の整備推進に貢献し、もって産業の振興と発展並びに公共の福祉の増進に寄与する。、,
3287,A001610,公益財団法人足立区勤労福祉サービスセンター,コウエキザイダンホウジン　アダチクキンロウフクシサービスセンター,公益財団法人,東京都,2011805001907,120-0034,東京都足立区千住一丁目５番７号（あだち産業センター２階）,03-6812-0871,石鍋　敏夫,http://www.yuu.or.jp/,04月01日～03月31日,勤労者の福祉の向上を目的とする事業,"中小企業勤労者等の生活の向上及び中小企業の振興に寄与することを目的とし、
中小企業勤労者等の、（１）生活の安定に資する事業（２）健康維持増進に資する事業（３）老後生活の安定に資する事業（４）自己啓発、余暇活動に資する事業（５）財産形成に資する事業を行うとともに、生活・産業情報広報紙発行に係わる事業やその他センターの目的を達成するために必要な事業を行う。",
3288,,,,,,,,,,,,,,,
3289,A009933,公益社団法人長浜観光協会,コウエキシャダンホウジンナガハマカンコウキョウカイ,公益社団法人,滋賀県,1160005004814,526-0031,滋賀県長浜市北船町３番２４号えきまちテラス長浜,0749-53-2650,前川　和彦,https://kitabiwako.jp/,04月01日～03月31日,"文化及び芸術の振興を目的とする事業、
地域社会の健全な発展を目的とする事業",長浜市を中心とする湖北地域の観光事業を行い、住みよい地域づくりと文化及び経済の振興に寄与することを目的とし、観光に関する宣伝紹介や観光客の誘致及び接遇、観光資源の開発等を行っています。,
3290,A022343,一般財団法人神奈川県労働衛生福祉協会,イッパンザイダンホウジンカナガワケンロウドウエイセイフクシキョウカイ,一般財団法人,神奈川県,7020005002982,240-0003,神奈川県横浜市保土ケ谷区天王町２丁目４４番地の９,045-335-6900,赤城　邦彦,http://www.rfk.or.jp,04月01日～03月31日,,巡回集団健診、施設健診、各種健康相談、作業環境測定、浄化槽検査,
3291,A009928,公益社団法人日本ＰＴＡ全国協議会,コウエキシャダンホウジンニホンピーティエーゼンコクキョウギカイ,公益社団法人,内閣府,9010405001146,107-0052,東京都港区赤坂七丁目５番３８号,03-5545-7151,太田　敬介,http://www.nippon-pta.or.jp/,04月01日～03月31日,児童又は青少年の健全な育成を目的とする事業,"本会は教育を本旨とし、PTA活動を通して、社会教育、家庭教育の充実に努めるとともに
、家庭・学校・地域の連携を深め、児童・生徒の心身ともに健全な成長を図ることを目的
とする。",
3292,,,,,,,,,,,,,,,
3293,A001255,公益社団法人日本動物病院協会,コウエキシヤダンホウジンニホンドウブツビヨウインキヨウカイ,公益社団法人,内閣府,5011105004104,103-0021,東京都中央区日本橋本石町３丁目２番７号常盤ビル7階,03-6262-5252,宗像　俊太郎,https://www.jaha.or.jp,04月01日～03月31日,"学術及び科学技術の振興を目的とする事業、
障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業、
高齢者の福祉の増進を目的とする事業、
公衆衛生の向上を目的とする事業、
児童又は青少年の健全な育成を目的とする事業、
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業、
地域社会の健全な発展を目的とする事業、
一般消費者の利益の擁護又は増進を目的とする事業",人と動物がよい関係で共生できる豊かな社会の実現のために、質の高い動物医療を提供し、動物病院を通じて地域社会への貢献を行なっていくための各種事業、アニマルセラピーの普及啓発等の活動を行なっている。,
